,Song,clusters
687,Sister Golden Hair,1
688,Do The Bird,10
689,In My Blood,19
690,Please Don't Go,9
691,I Wish It Would Rain,11
692,(I Can't Help) Falling In Love With You,5
693,Is This Love,17
694,Outa-Space,10
695,I Will Wait,7
696,Middle,9
697,Flashdance...What a Feeling - Radio Edit,6
698,Solitaire (Live),5
699,Live Like We're Dying,9
700,Hero,7
701,Feelings - Live,2
702,Till I Waltz Again With You,6
703,I'm Still in Love with You (Originally Performed by Al Green) - Karaoke Version,19
704,Desert Rose,17
705,Stayin Alive,9
706,You Need To Calm Down,7
707,Don't You Want Me,17
708,I'm Not the Only One - As Originally Performed By Sam Smith,19
709,My Whole World Ended (The Moment You Left Me),10
710,Dance (A$$) Remix,8
711,It Wasn't Me,12
712,Some Kind Of Wonderful - Remastered 1999,8
713,Fight Song,17
714,Just Another Dream - 7” US Mix,12
715,"I'm On Fire - Live at Giants Stadium, E. Rutherford, NJ - August 1985",12
716,The Village of St. Bernadette - 1959 #7 Billboard chart hit,11
717,Romeo - Radio Edit,17
718,Good Old-Fashioned Lover Boy - Remastered 2011,6
719,Don't Let Go (Love),2
720,If You Love Me (Really Love Me),2
721,Rags to Riches,7
722,Breaking Up Is Hard to Do,16
723,I Miss You,10
724,Drive - 2017 Remaster,1
725,Better Love Next Time,6
726,Pimpin' All Over The World,8
727,Happy,8
728,So Sad (To Watch Good Love Go Bad) - 2007 Remaster,10
729,Proud Mary,11
730,I'm the Only One (Originally Performed by Melissa Etheridge) [Karaoke Version],5
731,Beautiful Crazy,5
732,Walkin' My Baby Back Home,12
733,More Money for You and Me - Medley,7
734,Let It Out (Let It All Hang Out),19
735,Baby Love,16
736,Don’t Leave Me This Way (Re-Recorded),9
737,The Martian Hop,9
738,The Wah Watusi,10
739,Don't Look Back (Originally Performed by Boston) [Karaoke Version],9
740,Never Be Like You (feat. Kai),19
741,Oh!,9
742,Can't Get Used To Losing You (Karaoke in the style of Andy Williams),15
743,Pon de Replay,7
744,Nothing's Gonna Stop Us Now,4
745,I Pledge My Love,2
746,Don't Be Cruel (In the Style of Cheap Trick) [Karaoke Version],5
747,Always Be My Baby,12
748,Con Calma,19
749,Don't Know Why - In the Style of Norah Jones (Karaoke Version Teaching Vocal),17
750,Maniac,2
751,The Promise,17
752,Groovin',15
753,You Ain't Seen Nothing Yet,1
754,Can't Hold Us (feat. Ray Dalton),9
755,Lonely People,1
756,Down,19
757,Just the Way You Are,9
758,Killing Me Softly With His Song,10
759,Too Much,17
760,If You Could Read My Mind,1
761,Goodbye Girl,10
762,Me and You and a Dog Named Boo,0
763,Need You Tonight,2
764,What Happened To Virgil (feat. Gunna),5
765,Too Good At Goodbyes,9
766,Slam,0
767,Kiss Me More (feat. SZA),5
768,Couldn't Get it Right (Originally Performed by Climax Blues Band) [Karaoke Version],9
769,Mr. Bojangles - Remastered 2001,17
770,Gotham City - Remix,19
771,Help! - Remastered 2009,6
772,Family Affair,7
773,I'm Looking Over A Four Leaf Clover (Jazz Samba),17
774,I Can't Wait,5
775,Stuck In The Middle With You,10
776,Tuesday (feat. Drake),13
777,Wasting My Time,2
778,Love So Right,10
779,All Night Long - Single Version,17
780,We R Who We R,7
781,Take It On the Run,1
782,Greenfields,16
783,Open The Door,9
784,I've Been Lonely Too Long - Single Version,8
785,Born To Be Wild - Single Version,1
786,Let You Down,9
787,Magic,10
788,Got a Hold on Me,2
789,All The Stars (with SZA),8
790,Imma Be (Made Famous by Black Eyed Peas),9
791,Powder Your Face With Sunshine,17
792,Man On Your Mind - Remastered 2022,18
793,Too Many Walls,12
794,Lonesome Town,10
795,Shake That,9
796,Ain't Understanding Mellow,17
797,Be Thankful for What You've Got - David Todd Remix (Radio Edit),10
798,Twistin' the Night Away,10
799,Love Of My Life (An Ode To Hip Hop) - Longer Album Version,5
800,Carnival,2
801,Love Takes Time,2
802,I Want A New Drug,8
803,The Game Of Love,10
804,Attention,5
805,Peppermint Twist Pt. 1,7
806,Just Once In My Life,10
807,Shout Shout (Knock Yourself Out),6
808,Someone You Loved,5
809,Before He Cheats,12
810,Walk Me Home (In the Style of Pink) [Karaoke Version],7
811,Look What You Done for Me,16
812,Homeward Bound,18
813,Wild Thing,16
814,Butter,5
815,Midnight Train to Georgia,11
816,Call on Me - 2002 Remaster,1
817,Mission: Impossible Theme,2
818,The Loco-Motion,2
819,With Your Love - Remastered,1
820,Hey Baby,12
821,What Hurts The Most,17
822,White on White,2
823,Straight From The Heart,0
824,So Alive,12
825,I Almost Lost My Mind,17
826,Twilight Time - Single Version,10
827,Mi Pueblo (My Home Town) (with Juan Gabriel),9
828,Sentimental Me,16
829,Dance to the Music,0
830,Funkytown - Single Version,17
831,Are You Gonna Be My Girl,12
832,Butterfly - 1957 #1 Billboard chart hit,11
833,Freddie's Dead,6
834,Hey Jealousy,17
835,(Girls Girls Girls) Made to Love,19
836,Sometimes Love Just Ain't Enough (As Made Famous by Patty Smyth and Don Henley),9
837,Cherry Cherry,18
838,Being With You,10
839,The Bones,5
840,Have You Ever Really Loved A Woman?,2
841,Sweat (A La La La La Long),9
842,No Limit,13
843,If I Were Your Woman - Single Version,10
844,Woody Woodpecker Song,0
845,Blah Blah Blah (feat. 3OH!3),8
846,It's Time,9
847,Pop Out (feat. Lil Tjay),5
848,Hotel California - 2013 Remaster,18
849,Say It Isn't So,1
850,Thot Shit,5
851,Will You Still Love Me? - Alternate,16
852,She Bop,12
853,Red Solo Cup,7
854,Let's Get It Started (Radio Version),7
855,Mule Train,11
856,Live And Let Die - Main Title,18
857,Sweet Nothing (feat. Florence Welch),7
858,Moscow Mule,5
859,Hello,7
860,Maria Maria (feat. The Product G&B),2
861,Keep It Comin',2
862,Semi-Charmed Life,2
863,Lay a Little Lovin' on Me - Robin's Stereo Mix,0
864,Giving You the Best That I Got (Single Version),5
865,Walkin' In The Rain With The One I Love,17
866,The Letter - Single Version,13
867,7 Things - Single Version,17
868,Sheila,10
869,Just a Dream,17
870,I'm Blue (The Gong Gong Song),19
871,You Belong To The City,4
872,Iris,12
873,Numb / Encore,13
874,Off the Wall,6
875,The Main Event/Fight,0
876,Palisades Park,8
877,Blue Suede Shoes,10
878,Cars,6
879,Hi-Heel Sneakers,10
880,Fire,11
881,Lean Back,8
882,Far Away Places - 1949 Single Version / With 1954 Spoken Introduction,6
883,"True Love (from ""High Society"") - 2006 Remaster",19
884,Penny Lane - Remastered 2009,16
885,Got To Give It Up - Pt. 1,16
886,If Your Girl Only Knew,7
