Song,Hot100 Rank,Hot100 Ranking Year,is_local,num_of_song_avaliable_markets
Thinkin' Bout It,98,2010,FALSE,184
"Love Me Like You Do - From ""Fifty Shades Of Grey""",13,2015,FALSE,181
Really Really,92,2016,FALSE,171
On The Street Where You Live,35,2012,FALSE,183
Feel like Makin' Love - 2015 Remaster,68,1975,FALSE,169
Bitter Sweet Symphony,79,1998,FALSE,181
Bridge Over Troubled Water,1,1970,FALSE,185
Macarena - Bayside Boys Remix,82,2001,FALSE,185
Rise,54,1980,FALSE,185
Slow Motion,13,2004,FALSE,183
American Kids,73,2014,FALSE,185
Case Of The Ex (Whatcha Gonna Do),40,2001,FALSE,3
Bent,9,2000,FALSE,170
We Don't Talk Anymore (feat. Selena Gomez),50,2016,FALSE,2
Hitchin' A Ride,14,2011,FALSE,185
You Might Think,65,1984,FALSE,184
If the World Was Ending (feat. Julia Michaels),56,2021,FALSE,185
The Story of Nanette: Nanette / Alabama Song / Drinkin' Again / Mr. Rockefeller / Do You Wanna Dance - Live,76,1977,FALSE,184
Rompe,74,2006,FALSE,184
I'll Dance at Your Wedding,31,2003,FALSE,185
When (Originally Performed By The Kalin Twins) [Full Vocal Version],43,2013,FALSE,185
Daddy Don't You Walk So Fast,10,1994,FALSE,184
The Woo (feat. 50 Cent & Roddy Ricch),78,2020,FALSE,184
It Don't Come Easy,43,1973,FALSE,184
Sorry,44,2008,FALSE,0
Girls Like You (feat. Cardi B) - Cardi B Version,10,2018,FALSE,3
I Wanna Be Around...,55,1963,FALSE,185
Oh How Happy,78,1987,FALSE,185
Kiss Me Thru The Phone,19,2009,FALSE,137
The Wonder of You,3,2007,FALSE,185
Things,62,1962,FALSE,185
Crazy,7,2006,FALSE,5
Baby Boy (feat. Sean Paul),12,2003,FALSE,181
Jump (For My Love),18,1984,FALSE,183
Don't Stop Till You Get Enough (Karaoke in the style of Michael Jackson),91,2009,FALSE,182
The Last Time - Mono Version,88,1965,FALSE,184
Can't Hold Us Down (feat. Lil' Kim),67,2003,FALSE,185
American Honey,94,2010,FALSE,183
Adore You,6,2020,FALSE,185
Just A Kiss,42,2011,FALSE,184
Scar Tissue,34,1999,FALSE,171
Peg,62,1978,FALSE,0
Dancing With A Stranger,14,2022,FALSE,0
Hey There,3,1977,FALSE,90
I Remember You,72,1990,FALSE,0
I Wanna Love You Forever,56,2000,FALSE,185
Give Your Heart a Break,39,2012,FALSE,163
This Is How We Do It,10,1995,FALSE,2
Bad (feat. Tiara Thomas),59,2013,FALSE,125
Giving Him Something He Can Feel,29,1992,FALSE,174
Gangsta's Paradise,1,1995,FALSE,185
I Got You Babe,16,1965,FALSE,171
Fame,66,1980,FALSE,184
Lose You To Love Me,30,2020,FALSE,179
"TO THE MOON (feat. Fivio Foreign, Russ Millions & Sam Tompkins) - Drill Remix",97,2022,FALSE,185
Kissin' Time,92,2022,FALSE,95
When You Were Sweet Sixteen,16,2010,FALSE,182
Fuck Wit Dre Day (And Everybody's Celebratin'),53,1993,FALSE,183
I Can't Stop Loving You,2,2009,FALSE,184
Don't Wanna Try - Karaoke Version In the Style of Frankie J.,71,2010,FALSE,185
Don't Cry for Me Argentina (Originally Performed by Madonna) [Karaoke Version] - 1997,87,2013,FALSE,0
Traces,54,1969,FALSE,184
Meant to Live,51,2004,FALSE,185
(I Just) Died In Your Arms,32,1987,FALSE,184
bad guy,4,2019,FALSE,184
The Boy From New York City,98,2006,FALSE,184
Shake Ya Ass,68,2000,FALSE,185
pushin P (feat. Young Thug),48,2022,FALSE,185
Location,21,2017,FALSE,185
Bring It All to Me (feat. *NSYNC),30,2000,FALSE,185
Wanted,52,2012,FALSE,2
The Rose,10,1980,FALSE,185
It's Not For Me To Say,34,1958,FALSE,185
