Song,Hot100 Rank,Hot100 Ranking Year
Butterfly - 1957 #1 Billboard chart hit,36,1959
Freddie's Dead,82,1972
Hey Jealousy,95,1993
(Girls Girls Girls) Made to Love,96,2010
Sometimes Love Just Ain't Enough (As Made Famous by Patty Smyth and Don Henley),22,2011
Cherry Cherry,68,1968
Being With You,13,1981
The Bones,9,2020
Have You Ever Really Loved A Woman?,16,1996
Sweat (A La La La La Long),77,2010
No Limit,30,2018
If I Were Your Woman - Single Version,90,1971
Woody Woodpecker Song,15,1990
Blah Blah Blah (feat. 3OH!3),51,2010
It's Time,47,2013
Pop Out (feat. Lil Tjay),45,2019
Hotel California - 2013 Remaster,19,1977
Say It Isn't So,22,1984
Thot Shit,71,2021
Will You Still Love Me? - Alternate,50,1987
She Bop,34,1984
Red Solo Cup,82,2012
Let's Get It Started (Radio Version),88,2014
Mule Train,9,1961
Live And Let Die - Main Title,56,1987
Sweet Nothing (feat. Florence Welch),44,2013
Moscow Mule,44,2022
Hello,7,2016
Maria Maria (feat. The Product G&B),3,2000
Keep It Comin',94,1992
Semi-Charmed Life,17,1997
Lay a Little Lovin' on Me - Robin's Stereo Mix,87,1990
Giving You the Best That I Got (Single Version),10,2022
Walkin' In The Rain With The One I Love,98,1997
The Letter - Single Version,80,1999
7 Things - Single Version,92,2008
Sheila,22,1962
Just a Dream,26,1998
I'm Blue (The Gong Gong Song),94,2004
You Belong To The City,30,2018
Iris,94,1999
Numb / Encore,93,2022
Off the Wall,79,1980
The Main Event/Fight,35,2002
Palisades Park,14,2008
Blue Suede Shoes,18,1957
Cars,12,1980
Hi-Heel Sneakers,88,1964
Fire,15,1979
Lean Back,10,2004
Far Away Places - 1949 Single Version / With 1954 Spoken Introduction,18,1954
"True Love (from ""High Society"") - 2006 Remaster",44,2006
Penny Lane - Remastered 2009,55,1967
Got To Give It Up - Pt. 1,20,1983
If Your Girl Only Knew,69,1996
Woody Woodpecker - Remastered 2005,30,2008
Oh Happy Day,93,2001
I Never Loved a Man (The Way I Love You),75,1967
(They Call Me The) Moonlight Gambler,32,1989
Your Love,66,2010
Hot N Cold,36,2008
Going In Circles,29,1969
Antidote,75,2016
I’d Really Love to See You Tonight,21,2023
Longer,33,1980
Just the Way You Are,88,2021
So Fine,69,2012
Back in the Day - Remix,93,1994
As I Lay Me Down,76,1996
Ms. Jackson,25,2001
Never Give You Up,100,1968
Beautiful,16,2003
She's Just My Style - Remastered,87,1966
How Long,65,2018
Spooky,26,1989
Broadway,84,2000
That's What I Like,3,2017
Cab Driver,86,1995
Third Rate Romance - Remastered,97,1975
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",41,2013
Drowning in the Sea of Love,77,1972
good 4 u,5,2021
Cyclone (feat. T-Pain) - Main,84,2007
Irresistible,63,2001
Caribbean Queen (No More Love On the Run),51,2010
The Devil Went Down to Georgia,50,1979
Wake Me up When September Ends,46,2005
"King's Dead (with Kendrick Lamar, Future & James Blake)",79,2018
Stroke You Up,44,1994
Fanny (Be Tender With My Love),79,1976
The Best of My Love - 2013 Remaster,13,1975
Lovergirl,29,1999
Blurred Lines,83,2014
Black Is Black,83,2000
Whole Lot Of Shakin' Going On - Single Version,28,1957
Ex-Factor,62,1999
Hot In The City,90,1982
Footsteps,69,1961
My Body,34,1998
Forever And For Always,57,2003
Caroline,60,2017
You Give Love A Bad Name,30,1986
We Be Burnin',88,2005
Never Gonna Give You Up,4,1988
Good Time Baby,88,2023
Way Down,64,1977
Running Bear,4,1960
Side To Side,77,2016
Dancing in the Moonlight,37,1973
This Ain't A Love Song,70,1995
What’s Next,68,2021
November Rain,17,1992
We Are Young (feat. Janelle Monáe),3,2012
Will You Love Me Tomorrow,16,2005
Affair of the Heart,57,1983
Hit the Quan - Original Version,83,2015
Scream,56,1995
Let's Think About Living,92,2016
Something About You,37,1986
Your Body Is a Wonderland,48,2003
I Do Not Hook Up,91,2009
Someday,69,2012
Paralyzer,98,2007
Wheels,8,1961
Baby I Love You,28,1969
Smokin' in the Boy's Room,44,1974
#Beautiful,81,2014
2 On (feat. ScHoolboy Q),65,2014
Every Time I Close My Eyes (with Kenny G),23,1996
1999 - 2019 Remaster,41,1983
It's Gonna Take a Miracle,71,1996
Naughty Girl,18,2004
Put Your Hands Together,68,1974
Will It Go Round In Circles,8,1973
Without You,4,1972
You'll Lose A Good Thing,71,2008
Baby Love,85,1986
Heartbreaker (feat. Jay-Z),35,1999
Waterloo,49,1974
Baker Street,26,1978
Ladies Night - Single Version,35,2018
Un-Break My Heart,4,1997
Mr. Vain - Original Radio Edit,76,1994
Wherever You Will Go,5,2002
Long Train Runnin',41,1973
Strawberry Letter 23,54,1977
Africa,24,1983
The Winner Takes It All,23,1981
Baby Now That I've Found You - Stereo,83,1968
Why Don't You & I (feat. Chad Kroeger),75,2004
Queen Of Hearts,14,1981
1-800-273-8255,84,2018
Lucky Star,66,1984
I Can't Go for That (No Can Do),15,1982
Toolie Oolie Doolie (The Yodel Polka),20,1996
You Won't Be Satisfied Until You Break My Heart,26,2014
New Rules,16,2018
I'll Be There For You/You're All I Need To Get By - Puff Daddy Mix,42,2014
Sail On,98,1985
Send One Your Love,43,1980
Baby Blue,66,2006
Sad Songs (Say So Much),54,1990
In The Mood,99,2004
Summer in the City - Remastered,35,1966
Shake Your Groove Thing,31,1979
Joyride - Single Version,23,1995
Suddenly - Xanadu/Soundtrack Version,91,2002
Come & Get It,33,2013
I've Had It,62,2010
Tunnel Vision,55,2017
Pony,72,1999
Doin' This,71,2022
You’ve Got a Friend,17,2023
If I Ever Fall In Love,7,1993
Rain On Me (with Ariana Grande),48,2020
Whoopty,50,2021
Superman (It's Not Easy),46,2002
Shambala - Single Version,31,1973
"Whatever Will Be, Will Be (Que Sera, Sera) (with Frank DeVol & His Orchestra)",8,1956
1979 - Remastered 2012,44,1996
Wind It Up,83,2007
Hang 'Em High,90,1969
Dance with Me,70,2003
Shape of You,71,2018
All Cried Out (with Full Force),61,1986
Drivin' My Life Away,85,1980
Hero,99,2001
X (feat. Maluma & Ozuna) - Remix,90,2018
Vogue,5,2009
Now Is The Hour (Maori Farewell Song) - Single Version,3,1993
Just When I Needed You Most,29,1979
Break Your Heart,10,2010
Piece of My Heart,84,1991
If I Could Turn Back Time,35,1989
Brilliant Disguise,86,1987
Pretty Blue Eyes,39,1961
Seems Like Old Times,23,1996
He's So Fine - Remastered 2000,4,2004
"Danger Zone - From ""Top Gun"" Original Soundtrack",42,1997
"Dance, Dance",33,2006
Happily Ever After,72,1999
It's Not Right But It's Okay,44,1999
Wishing Well,92,2020
I Can Love You Like That,15,1995
Deep Purple,62,2001
Soul Twist,92,2006
Boom Boom Pow (Made Famous by Black Eyed Peas),1,2010
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),76,2022
The Happy Wanderer,17,2023
Cash Shit (feat. DaBaby),90,2019
Taxi,85,1972
It's All In The Game,9,1958
Yo Me Porto Bonito,20,2023
"Say, Has Anybody Seen My Sweet Gypsy Rose",34,2005
Unwritten,6,2006
I Hate U,50,2022
Everytime,83,2004
Roar,10,2013
I Can't Stand It,67,1981
Indian Outlaw,90,1994
Lonely,44,2006
Remind Me (In the Style of Brad Paisley and Carrie Underwood) [Karaoke Version],82,2014
Rock Wit U (Awww Baby),29,2003
"Try Sleeping with a Broken Heart (Live from Movistar Arena Buenos Aires, Argentina)",99,2023
Moonglow and Theme from Picnic,31,1991
Object of My Desire,93,1986
Snow (Hey Oh),91,2007
She Had Me At Heads Carolina,46,2022
Say Something (Featuring Drake),85,2010
traitor,38,2021
Still The Same,52,1978
I Don't Wanna Live Forever (Fifty Shades Darker) - Reprise Electro Zayn & Taylor Swift,26,2017
Makin' It (Re-Recorded),14,2012
Sweet Dreams,86,2010
Better Be Good to Me - 2015 Remaster,59,1985
Hands To Heaven,9,1988
If You Leave - Remastered 2019,53,2019
Yeah 3x,49,2011
Coco Jamboo,92,1997
Don't You Worry 'Bout A Thing,95,1982
(If Loving You Is Wrong) I Don't Want to Be Right,16,1972
California Dreamin' - Single Version,1,1966
Vegas (From the Original Motion Picture Soundtrack ELVIS),47,2022
Jar of Hearts,55,2011
Refugee,100,1980
What About Me?,88,1983
The Middle,8,2018
"Lemonade (feat. Gunna, Don Toliver & NAV)",51,2021
You Belong To Me,25,2002
Goodbye Yellow Brick Road - Remastered 2014,72,1974
The Little Old Lady (From Pasadena),48,1964
I Can See For Miles - Mono Version,98,2021
If I Had a Hammer,30,2005
Never My Love - Remastered Version,20,1967
Where the Party At (feat. Nelly),16,2001
End Of The Road,1,1992
Don't Cha,84,2006
I'm Gonna Get Married (In the Style of Lloyd Price) [Karaoke Version],23,2013
If,19,1993
"Never Leave You (Uh Oooh, Uh Oooh)",41,2003
Fields Of Gold,87,1993
All Those Years Ago - 2004 Remaster,74,1981
Amazing,72,1994
I Run To You,90,2009
Stand by Me,63,1962
Fantasy,49,1996
In The Still Of The Nite (I'll Remember),12,1993
Truth Hurts,13,2019
It Must Be Him,25,1967
"Which Way You Goin', Billy?",26,1996
Baby Face (Edit),68,1976
(Love Is Like A) Heat Wave,26,1963
It's A Great Day To Be Alive,88,2001
Dreams,75,2001
Real Love,85,1992
Show Me Love,17,1993
Scream & Shout,23,2013
Suspicions - 2008 Version,85,1979
Drank in My Cup,78,2012
Short Shorts,35,2022
American Boy,39,2008
Do You Believe In Us,71,1993
When I Grow Up,49,2008
From This Moment On,57,1999
Señorita,15,2020
Love Song,67,1990
So Much In Love,11,1963
Dani California,23,2006
Can't Feel My Face,12,2023
I Woke Up in Love This Morning,88,2005
Who's Holding Donna Now?,85,1985
"You, You, You",5,1953
"Monday, Monday - Single Version",24,1966
Somewhere In the Night,93,1979
Thotiana,47,2019
Hold Me,31,1988
Don't Let It End - Live In New Orleans/1983,60,1984
Shattered Dreams - Remastered 2008,26,1988
Ferry Cross the Mersey - Stereo; 1997 Remaster,43,1965
Tell It Like It Is,87,1981
One More Time,90,1997
Get Ready - Single Version,8,2005
Half-Breed,20,1973
Anything (feat. Next),88,2002
Near You,14,1996
Smiling Faces Sometimes,14,1971
I Got Rhythm,37,1967
"I'll Never Be Free (Originally Performed by ""Tennessee"" Ernie Ford & Kay Starr) [Karaoke Version]",20,2016
Heat Waves,16,2021
Junior's Farm - DJ Edit,88,2001
Work Out,63,2012
Super Freaky Girl,56,2022
Me And Baby Brother,95,1974
That's Amore,16,1954
You Turn Me On,57,2005
Devil Woman,55,1977
I Hope You Dance,32,2001
Can Anyone Explain,27,2010
Hold What You've Got,85,2000
On Broadway,55,1981
Don’t Say You Don’t Remember,86,2010
Because Of You,57,2007
All Around the World - Remastered,21,1990
I'll Be Good To You,61,1976
Wooly Bully,1,1965
What Do You Mean?,33,2023
What About Your Friends,62,1993
"Laugh, Laugh",87,1965
Buy Dirt,49,2022
Let Me Love You (Until You Learn To Love Yourself),86,2013
Summer Girls,38,1999
How You Gonna Act Like That,31,2003
I Fall Apart,39,2018
Tubthumping,69,1997
Sail,25,2013
When the Children Cry,60,1989
Deep Purple,42,1976
Luv U Better,73,2002
When Doves Cry,1,1984
Sink The Bismarck,28,1961
Broadway Girls (feat. Morgan Wallen),81,2022
You Should Hear How She Talks About You,18,1982
Hip Hop Hooray,90,1999
Sexy Bitch (feat. Akon),26,2010
Girl Watcher,45,1997
Can I Get A...,39,1999
One Toke Over the Line,63,1971
Heathens,21,2016
My Heart Is an Open Book,19,1959
Dark Moon,29,1994
Why Me - Live,6,2017
Your Cheatin' Heart,26,1953
Leather and Lace (with Don Henley),36,1991
What's Going On,21,1971
Stranger in My House,62,2001
If I Were a Boy,48,2009
Stitches,36,2015
TSOP (The Sound of Philadelphia) (feat. The Three Degrees),7,2018
We Found Love,69,2011
U Can't Touch This,55,1990
"You Can't Be True, Dear",19,2013
"Baby, I Love You",59,1967
The Bigger Picture,76,2020
There's Nothing Holdin' Me Back,23,2017
Bubbly,21,2008
Big Green Tractor,75,2009
What's Love Got to Do with It,2,1993
The Night Has A Thousand Eyes,67,1963
Like a Prayer,25,2009
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",68,2016
Feel Like Makin' Love,35,1975
Proud Mary,19,1969
Freedom! '90 - Remastered,95,2017
Sweetest Pie,62,2022
What the Hell,62,2011
Sir Duke,18,1977
Wishing On a Star,49,2002
I Know A Place,36,1996
Miles Away,97,1991
Summer Love,39,2007
Teenage Dream,17,2010
G.T.O.,39,2005
Freeze-Frame,49,1982
Believer,100,2018
"Hungry Eyes - From ""Dirty Dancing"" Soundtrack",25,1997
Holy (feat. Chance The Rapper),35,2021
"Evergreen (Love Theme from ""A Star Is Born"")",4,1977
"That'll Be The Day - Live On The Ed Sullivan Show, December 1, 1957",30,2020
I Like the Way (The Kissing Game),8,1991
No Brainer,73,2018
Coward Of The County,34,1980
Kiss,19,1986
Just A Little Too Much - Remastered,78,1959
Do You Want To Dance,42,2005
Getto Jam,55,1994
I'm N Luv (Wit a Stripper) (feat. Mike Jones),41,2006
The Poor Side Of Town,18,1967
Ain't Too Proud To Beg - Live At The Roostertail's Upper Deck/1966,39,1967
Don't Cry (Original),16,1991
Feel so Good,44,1998
Feel It Still,33,2018
Sweet Talkin' Woman,86,1978
Beautiful (feat. Camila Cabello),95,2019
Another Brick in the Wall (Part II) [In the Style of Pink Floyd] {Karaoke Version},2,2015
Superman,98,2003
Summertime,38,1991
Only the Lonely,20,1961
Kicks,9,1966
Tonight She Comes - 2017 Remaster,81,1986
Heart And Soul,33,1987
Smile,75,2010
Tell Me It's Real,48,1999
Chirpy Chirpy Cheep Cheep,71,2011
Sleep Walk,11,2012
The Boys Are Back In Town,87,1976
Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,20,1997
Way 2 Sexy (with Future & Young Thug),48,2021
Casanova,71,2010
"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",79,2010
Stuck Like Glue,81,2010
The Very Thought Of You,36,1965
Is There Something I Should Know?,55,1983
Twist And Shout - Remastered 2009,40,1964
I Know You Want Me (Calle Ocho),17,2009
Can't Take My Eyes Off You,10,2017
The First Night,18,1998
One - Single Version,11,1969
Love Galore (feat. Travis Scott),80,2022
In the Ghetto,35,1969
All I Want for Christmas Is You,65,2022
Twisted,93,1997
Trumpets,61,2014
Hard to Say I'm Sorry - 2009 Remaster,19,1997
Knockin' da Boots,14,1993
going down!,97,2018
Good as Hell,31,2020
Goodbyes (feat. Young Thug),30,2019
3,69,2010
Sweet Soul Music,17,1967
Buttons And Bows,21,1989
Liar,69,1971
Friday On My Mind,66,1967
Riptide,71,2015
Despacito,2,2019
Everybody Have Fun Tonight,12,1987
Born To Be My Baby,39,1989
You Light Up My Life,3,1978
"Little Red Corvette - 7"" Edit - 2019 Remaster",52,2019
Da Doo Ron Ron (When He Walked Me Home),46,2011
It's a Sin - 2018 Remaster,30,1987
Ain’t It Fun,47,2023
Ain't 2 Proud 2 Beg,36,1992
Laugh Now Kry Later!,45,2021
Lonely No More,22,2005
United We Stand,64,1979
Losing You,52,1963
"Hold On, We're Going Home",34,2013
"Mr. Sun, Mr. Moon (feat. Mark Lindsay)",95,2019
Low (feat. T-Pain),1,2008
All Shook Up,1,2023
All 4 Love,9,1992
Round and Round,87,1984
Break Up,65,2009
#thatPOWER,95,2013
Valerie,96,1988
Little Sister (Bonus Track),39,2022
Breakin' In A Brand New Broken Heart,80,1962
Hernando's Hideaway,10,2010
Animal,61,2010
Back At One,20,2000
Up Jumps da Boogie (In the Style of Magoo & Timbaland) [Karaoke Version],58,2013
Cherry Pink And Apple Blossom White,1,2006
So Anxious,80,1999
School's Out,75,1972
Blowing Kisses In The Wind,73,1992
She Wolf,64,2009
Truth Hurts,55,2020
Bluebird,91,2020
Love The Way You Lie,7,2010
Underneath It All,71,2002
Gold,52,2016
I GOTCHA,6,1972
Everybody Plays The Fool,86,1991
Jackie Blue,30,1975
Cecilia,49,1970
It's My Turn,42,1981
Can’t Get You Out of My Head,45,2023
Drunk On You,53,2012
My Foolish Heart,28,1994
Small Town,72,1986
White Christmas,24,1947
Started From the Bottom,32,2013
A Hundred Pounds Of Clay,26,1961
Silhouettes,35,1957
Wishin' And Hopin',35,1964
Wanna Get To Know You,86,2004
Fallin' For You,68,2009
No Surprise,63,2009
I Love How You Love Me,52,1961
Undercover (Of The Night) - Remastered 2009,93,1984
Guantanamera,75,1966
Ma Belle Amie,81,1970
Too Shy,50,1983
Lowdown,49,1976
Hello,7,1984
How Do You Talk To An Angel?,80,1993
Do You Wanna Make Love,17,2016
Havana (feat. Young Thug),4,2018
breathin,72,2019
Ni**as In Paris,40,2012
Stop And Stare,33,2008
Red Rubber Ball,25,1991
Knock Three Times,10,1971
Set Fire to the Rain,12,2012
Te Boté - Remix,81,2018
My Girl,10,1965
Coming Out of the Dark,34,1991
Chandelier,90,2015
Seven Year Ache,97,2005
The Rapper,45,1970
Ordinary World,34,1993
Speak To The Sky,96,1972
I Knew You Were Waiting (For Me) (Karaoke in the style of George Michael & Aretha Franklin),36,2009
I Met You There,16,2017
All Right Now,27,1970
Wonderful! Wonderful!,93,1963
My Love,73,1983
Living And Living Well,93,2002
Life's Been Good,87,1978
(The Man Who Shot) Liberty Valance,63,1972
Tainted Love,11,1982
Take Your Time,45,2015
Something To Talk About,55,1991
When I Was Your Man,8,2013
Peg O' My Heart,6,1955
Angel,81,1985
(We Ain't Got) Nothin' Yet,65,1967
"Working My Way Back to You / Forgive Me, Girl",14,2007
Return To Me (Ritorna-Me) - 1997 Remaster,10,1958
Sweet City Woman (Originally Performed by Stampeders) [Karaoke Version],58,2015
Insane in the Brain,65,1993
Never Had A Dream Come True,61,2001
Regulate - Destructo & Wax Motif Remix,22,1994
Downtown,93,2013
Praying,67,2017
Everything,41,1990
Groovin',9,1967
The First Cut Is The Deepest,28,2004
Oh Girl,84,1990
Gucci Gang,44,2018
Born This Way,18,2011
Water Runs Dry,12,1995
Yes. I'm Ready,27,1965
Dum Dum,91,1961
Girls Like You (feat. Cardi B) - Cardi B Version,22,2019
How Do You Like Me Now?!,82,2000
"Don't Wanna Know - 11 Hearts Mix Maroon 5 , Kendrick Lamar Tribute",38,2017
Telephone Line,15,1977
Tic Tac Toe (Original Mix),100,2011
Sweet Love,90,2022
Coconut,66,1972
Rockin' Pneumonia And The Boogie Woogie Flu,78,1998
"More, More, More",17,2007
Needed Me,13,2016
Arthur's Theme (Best That You Can Do),98,1982
Hard Headed Woman,49,1958
After All (Love Theme From Chances Are),79,1989
Waiting On the World to Change,87,2006
Symphony,27,1989
Vincent,94,1972
Come & Talk To Me,31,1992
Swayin' to the Music (Slow Dancing) [Originally Performed by Johnny Rivers] {Karaoke Version},49,2016
After the Love Has Gone,38,1979
Let Me Blow Ya Mind,7,2001
Renegades,54,2015
Let the Little Girl Dance,51,1990
Last Night,71,1997
Here Comes the Hotstepper - Heartical Mix,24,1995
There! I've Said It Again,98,1964
Love Me Warm And Tender,76,2000
What Have You Done For Me Lately,43,1986
Walk Like a Man,18,1963
What You Know Bout Love,22,2021
Golden Earrings,22,1998
I Wanna Be Down,100,1994
You Want This,64,1995
Impulsive,48,1991
Island Girl,65,1976
