Song,Hot100 Rank,Hot100 Ranking Year
Bad (feat. Tiara Thomas),59,2013
Giving Him Something He Can Feel,29,1992
Gangsta's Paradise,1,1995
I Got You Babe,16,1965
Fame,66,1980
Lose You To Love Me,30,2020
"TO THE MOON (feat. Fivio Foreign, Russ Millions & Sam Tompkins) - Drill Remix",97,2022
Kissin' Time,92,2022
When You Were Sweet Sixteen,16,2010
Fuck Wit Dre Day (And Everybody's Celebratin'),53,1993
I Can't Stop Loving You,2,2009
Don't Wanna Try - Karaoke Version In the Style of Frankie J.,71,2010
Don't Cry for Me Argentina (Originally Performed by Madonna) [Karaoke Version] - 1997,87,2013
Traces,54,1969
Meant to Live,51,2004
(I Just) Died In Your Arms,32,1987
bad guy,4,2019
The Boy From New York City,98,2006
Shake Ya Ass,68,2000
pushin P (feat. Young Thug),48,2022
Location,21,2017
Bring It All to Me (feat. *NSYNC),30,2000
Wanted,52,2012
The Rose,10,1980
It's Not For Me To Say,34,1958
Goin' Crazy,70,2005
The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,67,2010
She's Playing Hard To Get,50,1992
Hot Boy,54,2014
Even If It Breaks Your Heart,99,2012
Fallin',2,2001
Catch a Falling Star (with Mitchell Ayres and His Orchestra & The Ray Charles Singers),7,1975
Sexy Love,51,2006
Angel,17,2001
Signs - Live At The Trocadero / 1990,73,1991
Still Water (Love),58,2008
An American Dream,72,1980
I Wanna Know,4,2000
Hoop-Dee-Doo,25,2010
I've Been In Love Before - Edit Version / 1987,97,2022
The Twist,9,2020
Your Precious Love,32,2000
Society's Child (Baby I've Been Thinking),85,1967
I Can See Clearly Now - Edit,47,1972
Lesson In Leavin’ - Live Acoustic,93,2010
Never Been To Spain - Single Version,73,1972
Hell Yeah,74,2022
Beer For My Horses,75,2003
Have You Forgotten?,90,2003
I Need Your Love Tonight - Live,44,1959
Last Night (feat. Keyshia Cole),42,2007
The Boll Weevil Song,25,1989
Jimmy Mack,36,1967
Emotion,14,1978
A Lover's Question,72,2005
We Found Love,8,2012
No Guidance (feat. Drake),21,2019
she's all i wanna be,94,2022
One Number Away,96,2018
Surf City,22,2010
"Whenever, Wherever",28,2002
Without You (feat. Usher),50,2012
Never Tear Us Apart,95,1988
Let's Get Serious - Single Version,30,1993
Applause,37,2013
God is a woman,62,2018
Hey Brother,60,2014
Rock That Body,75,2023
Still - Single Version,41,2006
Don't Mess With My Man (feat. Brian Casey & Brandon Casey),38,2003
(Love Is) Thicker Than Water,8,1978
To Each His Own,16,1998
Same Old Love,40,2016
Ain't That A Shame,9,1964
Two of Hearts,51,1986
In Da Club,1,2003
Red Roses For A Blue Lady,76,2000
To All the Girls I've Loved Before (Originally Performed by Julio Iglesias & Willie Nelson) [Karaoke Version],50,2016
Show Me The Way,68,1991
Walking In Rhythm,53,1975
Evil Woman,70,1976
Walk Away Renee,27,1967
Cold Sweat,77,1972
Something's Burning,38,1992
Didn’t I (Blow Your Mind This Time),71,2011
I Tried,58,2007
The Time (Dirty Bit),37,2023
How's It Going to Be,11,1998
Our Lips Are Sealed - Single Version,63,1982
Moonlight,88,2018
Deacon Blues,100,1978
Thunder,51,2017
Sweet Thing,44,1976
Don't Lie (Originally Performed By the Black Eyed Peas) - Tribute Version,81,2014
A Whiter Shade of Pale - Original Single Version,38,2019
Let Me Love You,3,2005
Tonite's Tha Night,64,1996
Sometimes When We Touch,33,1978
Let Me Love You Tonight,70,1980
Rhythm Of The Night,32,1985
The World Is A Ghetto,94,1994
